PlaintiffFirm,DefendantFirm,CaseType,Court,Outcome,Weight,Year
Quill & Hart LLP,Northgate Legal Group,Contract,D.N. Cal.,PlaintiffWin,1,2022
Northgate Legal Group,Quill & Hart LLP,IP,D. Del.,DefendantWin,1,2023
Silverman & Co.,Quill & Hart LLP,Contract,S.D.N.Y.,DefendantWin,1,2021
Atlas Litigation Partners,Silverman & Co.,Employment,N.D. Ill.,PlaintiffWin,1,2020
Quill & Hart LLP,Atlas Litigation Partners,Employment,S.D.N.Y.,DefendantWin,1,2022
Northgate Legal Group,Atlas Litigation Partners,Tort,C.D. Cal.,DefendantWin,1,2024
Blue Ridge Counsel,Quill & Hart LLP,Tort,E.D. Tex.,DefendantWin,1,2023
Blue Ridge Counsel,Northgate Legal Group,Contract,S.D. Tex.,PlaintiffWin,1,2022
Atlas Litigation Partners,Blue Ridge Counsel,IP,D. Mass.,DefendantWin,1,2021
Silverman & Co.,Northgate Legal Group,IP,D. Del.,PlaintiffWin,1,2020
Quill & Hart LLP,Silverman & Co.,Tort,E.D. Pa.,PlaintiffWin,1,2024
Northgate Legal Group,Silverman & Co.,Employment,N.D. Cal.,DefendantWin,1,2022
Atlas Litigation Partners,Quill & Hart LLP,Contract,D.D.C.,PlaintiffWin,1,2021
Blue Ridge Counsel,Atlas Litigation Partners,Contract,D. Mass.,DefendantWin,1,2023
Silverman & Co.,Blue Ridge Counsel,Tort,S.D. Fla.,Settlement,1,2022
Quill & Hart LLP,Blue Ridge Counsel,IP,D. Del.,DefendantWin,1,2020
Northgate Legal Group,Blue Ridge Counsel,Employment,N.D. Ill.,PlaintiffWin,1,2024
Atlas Litigation Partners,Northgate Legal Group,Tort,C.D. Cal.,DefendantWin,1,2021
Silverman & Co.,Atlas Litigation Partners,Contract,S.D.N.Y.,PlaintiffWin,1,2023
Blue Ridge Counsel,Silverman & Co.,Employment,S.D. Tex.,DefendantWin,1,2024
Quill & Hart LLP,Northgate Legal Group,IP,D. Del.,Settlement,1,2022
Northgate Legal Group,Quill & Hart LLP,Contract,D.N. Cal.,PlaintiffWin,1,2021
Atlas Litigation Partners,Silverman & Co.,IP,E.D. Tex.,DefendantWin,1,2020
Blue Ridge Counsel,Atlas Litigation Partners,Tort,S.D. Fla.,DefendantWin,1,2022
Silverman & Co.,Northgate Legal Group,Contract,D.D.C.,DefendantWin,1,2023
Quill & Hart LLP,Atlas Litigation Partners,Contract,S.D.N.Y.,PlaintiffWin,1,2024
Northgate Legal Group,Silverman & Co.,Tort,N.D. Cal.,PlaintiffWin,1,2020
Atlas Litigation Partners,Blue Ridge Counsel,Employment,N.D. Ill.,PlaintiffWin,1,2022
Blue Ridge Counsel,Quill & Hart LLP,Contract,S.D. Tex.,DefendantWin,1,2021
Silverman & Co.,Quill & Hart LLP,IP,D. Mass.,DefendantWin,1,2024
